YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,TAXI_OUT,ELAPSED_TIME,AIR_TIME,WHEELS_ON,SCHEDULED_ARRIVAL,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,UA,1457,N76529,LAX,IAH,0557,0555,12,178,160,1047,1109,0,0,,,,,,
2015,1,1,4,AA,1205,N3FKAA,EWR,MIA,0559,0552,22,177,149,0843,0902,0,0,,,,,,
2015,1,1,4,OO,5547,N910SW,ONT,DEN,0559,0758,4,138,123,1105,0920,0,0,,0,0,0,0,116
2015,1,1,4,UA,210,N830UA,MSP,DEN,0600,0556,14,120,100,0650,0719,0,0,,,,,,
2015,1,1,4,UA,214,N454UA,PBI,IAH,0600,0555,17,172,146,0738,0750,0,0,,,,,,
2015,1,1,4,UA,247,N462UA,PHX,IAH,0600,0751,31,160,118,1120,0928,0,0,,12,0,0,0,111
2015,1,1,4,UA,256,N464UA,RSW,IAH,0600,0600,13,155,133,0726,0736,0,0,,,,,,
2015,1,1,4,UA,319,N498UA,EWR,MCO,0600,0603,14,152,135,0832,0853,0,0,,,,,,
2015,1,1,4,UA,374,N415UA,OMA,ORD,0600,0612,19,79,57,0728,0737,0,0,,,,,,
2015,1,1,4,US,635,N544UW,SMF,PHX,0600,0551,24,131,90,0845,0850,0,0,,,,,,
2015,1,1,4,US,646,N654AW,OAK,PHX,0600,0558,28,125,88,0854,0855,0,0,,,,,,
2015,1,1,4,US,1941,N708UW,PVD,CLT,0600,0555,11,130,114,0800,0819,0,0,,,,,,
2015,1,1,4,UA,422,N847UA,RNO,DEN,0600,0557,22,147,120,0919,0910,0,0,,,,,,
2015,1,1,4,UA,544,N831UA,PIT,IAH,0600,0622,19,197,175,0836,0815,0,0,,2,0,22,0,0
2015,1,1,4,UA,1016,N68807,DEN,IAH,0600,0552,11,146,114,0857,0922,0,0,,,,,,
2015,1,1,4,WN,4122,N486WN,BOS,BWI,0600,0556,17,83,63,0716,0745,0,0,,,,,,
2015,1,1,4,WN,4822,N293WN,LAS,BWI,0600,0602,10,243,230,1302,1330,0,0,,,,,,
2015,1,1,4,WN,2215,N249WN,ABQ,HOU,0600,0607,29,135,103,0919,0900,0,0,,15,0,7,0,0
2015,1,1,4,WN,676,N630WN,PHX,SLC,0600,0601,9,88,76,0726,0735,0,0,,,,,,
2015,1,1,4,WN,2787,N910WN,PIT,FLL,0600,0559,9,145,132,0820,0850,0,0,,,,,,
